,comment,replies
101,Hello every one &#39;<br>I got a issue while importing tensorflow text ..<br><br>No module named &#39;tensorflow_text&#39;<br><br> i have already installed all the required libraries .. tensorflow version - &#39;2.6.0&#39;<br>i have already installed --&gt; pip install tensorflow_text,[]
102,super happy to give you a massive 👍🏻,[]
103,I really appreciate your efforts.<br> Kindly tell me BERT is supervised or Unsupervised machine learning method.,[]
104,"Thank you a lot, it simplified everything to me so well.",['Glad it helped!']
105,Excellent explanation about BERT. The article which you suggested is awesome. Thank you soo much sir :),['yup that article is awesome.']
106,Thumbs up and subscribed. Thank you very much!,[]
107,great,[]
108,"This video was key for me to understand the functionality of bert, its inputs and outputs. Keep that stuff on! You&#39;re amazing!","['@codebasics Love your stuff. Just an FYI @<a href=""https://www.youtube.com/watch?v=7kLi8u2dJz0&amp;t=9m21s"">9:21</a> under the How was it trained slide, you have a typo (mased language model instead of masked language model) .', 'Glad it was helpful!']"
109,Very well explained. You really posses the ability to simplify the topics. Thank you s9 much.,[]
110,Very simple and concise explanation!! Thanks so much :),[]
111,really great content. It was really helpful.,['Glad you think so!']
112,You are the best... Thanks a ton for such a nice tutorial :),[]
113,Exactly what I need!,[]
114,"THaaanks alot, it was a very helpful tutorial.",['Glad it helped!']
115,your effort and time for creating good videos are highly appreciated!,[]
116,"hello, thank you for this tutorial. I have problems installing tensorflow_text in my conda environment. How did you do that?",[]
117,You are amazing.,[]
118,Thank you so much. I love the way you explain the codes.,['Glad you like them!']
119,Hi Dhaval<br><br>You are master !! <br><br>Thank you very much for your teaching !!,[]
120,This is awesome sir. I can&#39;t thank you enough,[]
121,"Hi Dhaval,<br><br>This is the best Bert based text classification tutorials . Thanks from Krish",[]
122,You are teaching in Nice manner. Can we have NER task Architecture explanation for Bert &amp; How it is Working and some code for implementation of NER,[]
123,thanks sir for these videos,['Glad you like them!']
124,love  from bangladesh,[]
125,Informative video. Thanks,[]
126,Sir but why it create an embedding of length 768?,[]
127,Informative and easy to learn ..... Keep adding videos,[]
128,Please make video on NER using BERT with re-training again with own data.,[]
129,"What could be done if, for some reason, your text has <i>more</i> than 128 words?","['@Developer Harsh  IKR. My question was exactly on purpose: what IF that limit is exceeded?', 'BERT can handle a maximum length of 512']"
130,"Great stuff!  You have a real knack for breaking down complex topics into simple, intuitive concepts.  Thank you!",[]
131,"Good explanation sir , tq",['You&#39;re most welcome']
132,"Great stuff, Sir.",[]
133,Sir in 12th standard less than 60%are students eligible to get  data science job,['Indeed']
134,"Part 2: Text classification using BERT: <a href=""https://youtu.be/D9yyt6BfgAM"">https://youtu.be/D9yyt6BfgAM</a>",['why private? if any error in the video then you can mark them in comments or edit even after published.']
135,"To the world, you may be just a teacher but to me, you are a hero! Wishing you a Happy Guru Purnima! I bow to the one who has inspired me and taught the right way of life! You are the inspiration who made me overcome every hurdle in python ❤️",['😊😊 happy guru purnima 😊😊']
136,they way you teach it is just awesome. I tried to learn topics from multiple source but your way is out of the box. Thank you so much.,[]
137,Thank u for this vid:),['Glad it was helpful!']
138,Happy Gurupornima,['😊🙏🙏']
139,How many more videos u think are remaining in this deep learning course?,"['To be honest I am not sure but I would say 90% complete. I have covered basics of deep learning, CNN, RNN and now just finishing last few videos of RNN/NLP']"
140,"nicely explained, thank you!",['Glad it was helpful!']
141,"Please I tried connecting with you on Facebook,  I will appreciate a feedback. Thank you",[]
142,Yesss Deep Learning is back,['🔥🔥🔥😊🥳']
143,Thank u sir for explaining in sch a simple language,['Glad you liked it']
144,Your teaching style and methodology is awesome. God bless you.,['😊🙏🙏']
145,nice!,[]
146,Great session for beginners. When will be the part 2 of this session held. Please inform,"['you are every where in the YouTube world. I have seen you in Andrew ml, and I have seen you in many places. Super  I think I am learning properly.  I am seeing you for last 7 months continuously.', 'Part 2 will be live tomorrow: <a href=""https://youtu.be/D9yyt6BfgAM"">https://youtu.be/D9yyt6BfgAM</a>']"
147,Thanks for this series on deep learning. Please consider having NLP deeplearnig series with PyTorch too.,[]
148,YES!! DL series is being continued!!!!<br>I can tell this is gonna be good.,[]
149,Please continue your dsa in python playlist 🙏 it&#39;s a request 🙏,[]
150,Great this would be helpful...<br>Dhaval do you have any tutorial on  predictive maintenance like for example predicting remaining useful life of Valves.... Please redirect me to resources which has solution approach Data sets etc.<br>Thanks,[]
151,Sir do more video on powerbi,[]
152,How Many Videos are in this Playlist?,[]
153,Sir aap kuch help kr skte ho,[]
154,Sir aapke personal baar krne tha,[]
